Trial_ID,Original_Trial_ID,reason,status,primary_failure_summary,next_action
B01,53,insufficient publication/source information,backup,The paper reports baseline K-MPAI and other baseline outcomes but not exact post/change summary statistics for the cleaned primary outcome.,Use only if a supplementary table with exact post/change K-MPAI summaries is obtained.
B02,55,source data mismatch,backup,"After correcting raw malaria-event coding from the old string check to numeric event code 1, cleaned rates are 0.506 and 0.243 episodes/person-year versus published 0.322 and 0.017.",Use only if the source data documentation needed to reconstruct incident malaria exactly is found.
B03,56,insufficient publication/source information,backup,"The published primary outcome is sputum Gram-negative bacterial-load change, but that variable is not in the public raw files.",Use only if the sputum bacterial-load raw file is obtained.
B04,57,source data mismatch under exact comparison,backup,Raw/cleaned SIS and WHODAS arm means did not reproduce the exact published Table II primary outcome means; rows are within the updated 5% tolerance but the trial remains archived in the backup set.,Use only if corrected source data or a documented mapping/exclusion rule is identified.
B05,58,no associated main publication identified,backup,"No associated main publication was identified, so no primary-outcome reproducibility audit can be completed.",Use only if a valid main publication is identified.
B06,81,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",backup,Paper reports model-based one-year intervention effects; compact cleaned endpoint/delta summaries do not reproduce the longitudinal SEM target.,Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.
B07,82,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",backup,"The source includes syntax for the paper filter, but the compact cleaned data do not contain all paper filter variables and include 133 participants.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.
B08,83,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",backup,"Cleaned data contain the gVL outcomes, but the paper primary target is an adjusted longitudinal odds ratio not reproduced by the compact audit.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.
B09,84,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",backup,The paper primary target is visit-level longitudinal adherence; the preliminary cleaned table keeps a compact final adherence percentage.,Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.
B10,87,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",backup,"Arm labels were verified in the codebook, but the paper's adjusted weight target is not reproduced by simple cleaned means.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.
B11,88,No associated main results publication identified.,backup,"I found dataset and registry information but no associated main results publication, so no primary-publication audit can be completed.",Archived under backup/Bxx until a valid main publication is found.
B12,90,Cleaned primary outcomes do not match the publication primary outcomes.,backup,The current cleaned file uses secondary cognitive Qmci outcomes and excludes two feasibility records; it needs recleaning around the paper primary feasibility outcomes.,Reclean around feasibility/usability primary outcomes before re-auditing.
B13,94,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",backup,"Control and monitor-only cortisol means are close, but the Monitor + Accept AUC-I target does not reproduce from the compact cleaned data.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.
