candidate_id,predownload_status,predownload_score,predownload_reasons,direct_repository_signal,explicit_file_signal,publication_doi_signal,human_clinical_health_signal,participant_signal,open_license_signal,restriction_signal_strict,active_expansion_doi_match,original_paper_doi_match,title,publisher,repository_client,doi,url,publication_year,formats,rights_license_short,related_publications_short,description_short
RCTC-02120,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,Replication Data for: Quality of Life Assessment and Practice Support System Project,Borealis,ocul.spdv,10.5683/sp3/a4jg2r,https://borealisdata.ca/citation?persistentId=doi:10.5683/SP3/A4JG2R,2024,application/octet-stream; text/x-fixed-field; application/pdf; application/octet-stream; application/octet-stream; application/octet-stream; application/octet-stream; application/octet-stream; text/tab-separated-values; application/octet-stream; application/octet-stream; application/octet-stream,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode | info:eu-repo/semantics/openAccess,"Dataverse publication:QPSS project website: Quality of Life Assessments for Older Adults and Family Caregivers https://www.healthyqol.com/older-adults | Dataverse publication:Sawatzky, R., Schick-Makaroff, K., Ratner, P., Kwon, J-Y., Whitehurst, D., Öhlén, J., Maybee, A., Stajduhar, K., Zetes-Zanatta, L., Cohen, S.R. (2025). Did a digital quality of life (QOL) assessment and practice support system in home health care improve the QOL of older adults living with life-limiting conditions and of...","Quantitative data for a pragmatic randomized controlled trial to test the hypothesis of whether access to a quality of life assessment and practice support system in home health care would result in improved QOL for patients and/or their family caregivers. See related publication for details. | The project website (https://www.healthyqol.com/older-adults) provides related resources on QOL assessments for older adults living with frailty, and their family caregivers. Research ethics approval for the study was provided by the Trinity Western University Research Ethics Board (#15F15)."
RCTC-02392,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,Investigating Rewards and Deposit Contract Financial Incentives for Physical Activity Behavior Change Using a Smartphone App: Randomized Controlled Trial,DataverseNL,dans.dataversenl,10.34894/g3koyt,https://dataverse.nl/citation?persistentId=doi:10.34894/G3KOYT,2025,application/zip; application/zip; text/plain; application/zip; application/zip; application/zip; application/zip; application/zip; application/zip,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode | info:eu-repo/semantics/openAccess,"Dataverse publication:Buisonjé D.R. de, Reijnders T.R., Cohen Rodrigues T.R., Prabhakaran S., Kowatsch T., Lipman S.A., Bijmolt T.H.A., Breeman L.D., Janssen V.R., Kraaijenhagen R.A., Kemps H.M.C. & Evers A.W.M. (2022). Investigating rewards and deposit contract financial incentives for physical activity behavior change using a smartphone app: randomized controlled trial, Journal of Medical Internet Research 24(10): e38339. https://www.jmir.org/2022/10/e38339/ | IsSupplementTo:DOI:10.2196/38339","Dataset contains survey data and intervention data of healthy adults who used a smartphone app to set goals, improve their daily step counts, and received financial incentives"
RCTC-01905,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,Safety and efficacy of remote ischemic postconditioning after thrombolysis in patients with stroke,Dryad,dryad.dryad,10.5061/dryad.zw3r2286c,https://datadryad.org/dataset/doi:10.5061/dryad.zw3r2286c,2022,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1212/wnl.0000000000010884,"Objective: To determine the effect of remote ischemic post-conditioning (RIPC) on acute ischemic stroke (AIS) patients undergoing intravenous thrombolysis (IVT). Methods: A single-center, randomized controlled trial was performed with AIS patients receiving IVT. Patients in the RIPC group were administered RIPC treatment (after IVT) during hospitalization. The primary endpoint was a score of 0 or 1 on the modified Rankin scale (mRS) at day 90. The safety, tolerability and neuroprotection biomarkers associated with RIPC were also examined. Results: We collected data from both RIPC (n=34) and controls (n=34). The average duration of hospitalization was 11.2 days. There was no significant difference between the two groups at admission for the NIHSS score (p=0.364) or occur to treatment time (p=0.889). An excellent recovery (mRS 0–1) at 3 months was obtained in 71.9% of the patients in th..."
RCTC-01479,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,2IUDnCT Clinical Trial Data (NCT01721798),Harvard Dataverse,gdcc.harvard-dv,10.7910/dvn/ntn7ky,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/NTN7KY,2020,text/tab-separated-values; text/tab-separated-values,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode | info:eu-repo/semantics/openAccess,Dataverse publication:Pending,"Database for analysis presented in forthcoming publication ""Safety and continued use of the levonorgestrel intrauterine system as compared with the copper intrauterine device among women living with HIV in South Africa: a randomized controlled trial"" in PLoS Medicine. Briefly, in this double-masked, randomized controlled non-inferiority trial, eligible WLHIV were: ages 18–40, not pregnant or desiring pregnancy within 30 months, screened and treated for reproductive tract infections (RTIs) within one month of enrollment, and virologically-suppressed using ART or above treatment threshold at enrollment (non-ART). Between October, 2013, and December, 2016, we randomized consenting women within ART groups, using 1:1 permuted block randomization stratified by ART use, age (18–23, 24–31, 32–40), and recent injectable progestin contraceptive exposure, and provided the allocated IUC. At all v..."
RCTC-01467,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,MPYA (Monitoring PrEP in Young Adult women) Study,Harvard Dataverse,gdcc.harvard-dv,10.7910/dvn/ppqksw,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/PPQKSW,2023,text/tab-separated-values; application/vnd.openxmlformats-officedocument.spreadsheetml.sheet; application/pdf; application/pdf; application/x-stata-syntax; application/msword; application/pdf; application/vnd.openxmlformats-officedocument.spreadsheetml.sheet; text/tab-separated-values; text/tab-separated-values; application/vnd.openxmlformats-officedocument.spreadsheetml.sheet; application/pdf; application/pdf; application/vnd.openxmlformats-officedocument.spreadsheetml.sheet; application/pdf; application/vnd.openxmlformats-officedocument.spreadsheetml.sheet; application/vnd.openxmlformats-officedocument.spreadsheetml.sheet; application/vnd.openxmlformats-officedocument.wordprocessingml.document,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode | info:eu-repo/semantics/openAccess,IsSupplementTo:DOI:10.1016/s2352-3018(20)30307-6,"The MPYA Study was a randomized controlled trial of SMS reminders to support adherence to oral HIV pre-exposure prophylaxis (emtricitabine/tenofovir) among 348 young women (18-24 years of age) in Thika and Kisumu, Kenya. Participants were seen quarterly for up to two years. Adherence was monitored electronically and a detailed demographic and socio-behavioral data were collected."
RCTC-05031,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,Replication Data for PredictTB Early Treatment Completion Criteria,Harvard Dataverse,gdcc.harvard-dv,10.7910/dvn/97hyq5,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/97HYQ5,2020,text/tab-separated-values,info:eu-repo/semantics/openAccess | Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsSupplementTo:PMID:29528048,"Standard treatment of drug-sensitive pulmonary tuberculosis requires six months of treatment. Several randomized clinical trials have attempted to shorten treatment to four months using various strategies but thus far all have failed. The PredictTB trial is an ongoing international randomized clinical trial testing a treatment shortening strategy whereby only drug-sensitive pulmonary TB patients who meet the study early treatment completion criteria are randomized to four vs. six months of treatment. The PredictTB early treatment completion criteria were developed based on a cohort of 92 pulmonary tuberculosis patients treated programmatically through the local tuberculosis treatment program in Cape Town, South Africa, with FDG-PET/CT scans also performed at baseline and week 4 of treatment. Patients were followed for one year after the end of therapy for programmatic treatment outcom..."
RCTC-01535,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,Replication Data for: Aprepitant Nausea and Vomiting LSG,Harvard Dataverse,gdcc.harvard-dv,10.7910/dvn/cf2lgp,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/CF2LGP,2024,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode | info:eu-repo/semantics/openAccess,"Dataverse publication:Ortiz, E., González, A.I., Jaime, V. et al. The impact of Aprepitant on Nausea and Vomiting following Laparoscopic Sleeve Gastrectomy: A Blinded Randomized Controlled Trial. OBES SURG 34, 1316–1323 (2024). https://doi.org/10.1007/s11695-024-07129-0 https://doi.org/10.1007/s11695-024-07129-0 | IsSupplementTo:DOI:10.1007/s11695-024-07129-0 | mentioned DOI:10.1007/s11695-024-07129-0","n this double-blind, randomized controlled trial, the case group received the standard care regimen for PONV (dexamethasone 10 mg, ondansetron 4 mg, and metoclopramide 10 mg) plus prophylactic oral aprepitant 80 mg 1 h pre- operatively. The control group received standard care plus a placebo. Comparative analyses using the Rhodes index were performed at 0, 6, 12, and 24 h postoperatively. | This database was used for the related study and contains data without personal identification of the patients, protecting their identity."
RCTC-01411,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,Replication Data for: Effect of Tocovid – a Tocotrienol-rich Vitamin E - in Mitigating Post-Operative Atrial Fibrillation (POAF) after Coronary Artery Bypass Grafting (CABG) Surgery: A Double-blind Randomized Controlled trial.,Harvard Dataverse,gdcc.harvard-dv,10.7910/dvn/xgdwg5,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/XGDWG5,2022,application/pdf; text/tab-separated-values; application/pdf; text/tab-separated-values; text/tab-separated-values; application/pdf; application/pdf; text/tab-separated-values; text/tab-separated-values; text/tab-separated-values; application/pdf; application/pdf; application/pdf; application/pdf; text/tab-separated-values; text/tab-separated-values,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode | info:eu-repo/semantics/openAccess,Dataverse publication:Incidence and Outcomes of Postoperative Atrial Fibrillation after Coronary Artery Bypass Grafting of a Randomized Controlled Trial: A Blinded End-of-cycle Analysis https://www.imrpress.com/journal/RCM/23/4/10.31083/j.rcm2304122 | IsSupplementTo:URL:/journal/RCM/23/4/10.31083/j.rcm2304122 | mentioned DOI:10.31083/j.rcm2304122,"This study, which takes three years to complete, basically looks at Tocovid which is a tocotrienol-rich Vitamin E as a potent source of anti-oxidant and anti-inflammatory to prevent postoperative atrial fibrillation with a secondary outcome in reducing the hospital stay and improving the quality of life of patients."
RCTC-01501,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,"Replication data for ""Randomized comparative effectiveness trial of 2 federally recommended strategies to reduce excess body fat in overweight, low-income patients: MyPlate.gov vs calorie counting""",Harvard Dataverse,gdcc.harvard-dv,10.7910/dvn/jo6og9,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/JO6OG9,2023,text/tab-separated-values; text/tab-separated-values; text/plain; text/plain,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode | info:eu-repo/semantics/openAccess,"Dataverse publication:Randomized comparative effectiveness trial of 2 federally recommended strategies to reduce excess body fat in overweight, low-income patients: MyPlate.gov vs calorie counting. Annals of Family Medicine. 2023;20 (3):1-7. https://doi.org/10.1370/afm.2964 | mentioned DOI:10.1370/afm.2964","Anthropometric measures obtained from 261 baseline participants who were also assessed at 6 and 12 months follow-up. | We conducted a randomized controlled trial comparing the calorie counting (CC) and MyPlate approached from 2015 to 2017. The adult participants were overweight, low income and mostly Hispanic (N = 261 at baseline). For both approaches, community health workers conducted 2 home education visits, 2 group education sessions, and 7 telephone coaching calls over a period of 6 months. Satiation and satiety were the primary patient-centered outcome measures. Waist circumference and body weight were the primary anthropometric measures. Measures were assessed at baseline, 6 months, and 12 months."
RCTC-01824,Download first,12,direct/open repository client; explicit file/tabular signal; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,yes,yes,yes,yes,yes,no,,,Immersive virtual reality exposure for reducing preoperative anxiety in children - Clinical trial data,Mendeley Data,bl.mendeley,10.17632/psxdxfw37t.1,https://data.mendeley.com/datasets/psxdxfw37t/1,2026,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode | info:eu-repo/semantics/openAccess,,"This dataset contains the clinical trial data reported in the manuscript ""Immersive virtual reality exposure for reducing preoperative anxiety in children - a randomized controlled trial"" by Kwok et al. The data captures both demographic information and assessment outcomes for paediatric participants. - Study Design - The detailed study design is presented in the manuscript. - Folder Structure and File Organisation - The dataset is organized into a hierarchical directory structure based on the study groups. The Root directory contains two main subfolders: (1) Root > VR: Contains data for participants allocated to the VR group (N=34). (2) Root > control: Contains data for participants allocated to the control group (N=38). Each subfolder (VR and control) contains two Comma-Separated Values (CSV) files: (i) Demographic Data (VR_demographics.csv or control_demographics.csv) - This file c..."
