candidate_title,repository,doi_or_url,attempted_timestamp,reason,observed_error_or_status,next_action
Intravenous ferumoxytol versus oral ferrous sulfate for iron deficiency anemia in pregnancy,Dryad,10.5061/dryad.k3j9kd5qd,2026-06-08,Dryad public file download returned validation/authorization HTML instead of file content; skipped to avoid bypassing site protection.,Interactive validation / unauthorized placeholder from Dryad download endpoints.,Revisit manually if repository access or source documentation changes.
Comparing exercise with virtual reality gaming on gait and cognition in relapsing-remitting multiple sclerosis,Dryad,10.5061/dryad.x69p8czzx,2026-06-08,Dryad public file download returned validation/authorization HTML instead of file content; skipped to avoid bypassing site protection.,Interactive validation / unauthorized placeholder from Dryad download endpoints.,Revisit manually if repository access or source documentation changes.
Preliminary efficacy of cognitive multisensory rehabilitation for neuropathic pain in chronic spinal cord injury,Dryad,10.5061/dryad.7h44j1007,2026-06-08,Dryad public file download returned validation/authorization HTML instead of file content; skipped to avoid bypassing site protection.,Interactive validation / unauthorized placeholder from Dryad download endpoints.,Revisit manually if repository access or source documentation changes.
Physical activity is associated with exercise capacity among patients undergoing chemotherapy,Dryad,10.5061/dryad.w6m905qzp,2026-06-08,Dryad public file download returned validation/authorization HTML instead of file content; skipped to avoid bypassing site protection.,Interactive validation / unauthorized placeholder from Dryad download endpoints.,Revisit manually if repository access or source documentation changes.
Patterned frequency-modulated oral stimulation in preterm infants,Dryad,10.5061/dryad.rg57q6m,2026-06-08,Dryad public file download returned validation/authorization HTML instead of file content; skipped to avoid bypassing site protection.,Interactive validation / unauthorized placeholder from Dryad download endpoints.,Revisit manually if repository access or source documentation changes.
Replication data for study NCT02612389: Qigong meditative movement,Harvard Dataverse,10.7910/DVN/3L6APT,2026-06-08,Raw file did not expose explicit treatment assignment needed for this benchmark.,No explicit Treatment/Group variable found in inspected workbook.,Revisit manually if repository access or source documentation changes.
The use of carbogen for interruption of febrile seizures - CARDIF trial,Zenodo,10.5281/zenodo.15728814,2026-06-08,Raw file is event/crossover dose-level rather than one participant-level treatment row.,"Semicolon CSV available, but repeated event/dose rows and crossover structure.",Revisit manually if repository access or source documentation changes.
Safety and efficacy of remote ischemic postconditioning after thrombolysis in patients with stroke,Zenodo,10.5061/dryad.zw3r2286c,2026-06-08,Record exposed supplemental Word tables rather than participant-level raw data.,"Open record, but files were DOCX supplemental tables.",Revisit manually if repository access or source documentation changes.
Randomized study of TENS therapeutic education for chronic low-back pain,Dryad,10.5061/dryad.84nj034,2026-06-08,Dryad API exposed metadata but file download endpoint returned 401 Unauthorized in this environment; skipped to avoid bypassing site access controls.,Official Dryad API metadata accessible; /download and file download endpoints returned 401 Unauthorized or 403.,Revisit manually if repository access or source documentation changes.
Replication Data for: What If Neither Randomized Control Trials Nor Public Health Interventions Are Enough?,Harvard Dataverse,10.7910/DVN/FR8OCC,2026-06-08,Official Dataverse file download required a guestbook response; skipped to avoid bypassing access workflow.,Dataverse API returned: may not download without required Guestbook response.,Revisit only if a compliant guestbook workflow is completed manually.
Intralesional betamethasone versus triamcinolone acetonide in the treatment of keloids,Harvard Dataverse,10.7910/DVN/OVO3MG,2026-06-08,Downloaded file was an assessor-summary table rather than participant-level randomized trial data.,"Open workbook contained 17 summary rows for visual assessment by treatment/examiner, not participant-level records.",Use only if participant-level source data are found.
Does stretching of hamstrings stretch the muscle or the neural tissue? Effect of three stretching modalities for hamstring muscles on global flexibility,Harvard Dataverse,10.7910/DVN/NICGQV,2026-06-08,Dataverse record lacked a complete associated publication DOI/link; replaced by a publication-backed candidate.,Publication metadata listed DOI type but no DOI value; abstract/results were available only in the dataset record.,Use only if an associated main publication is identified.
"Effects of an equol-containing supplement on advanced glycation end products, visceral fat and climacteric symptoms in postmenopausal women",Harvard Dataverse,10.7910/DVN/HQADC0,2026-06-08,Official Dataverse file export was a dictionary-style two-column table rather than participant-level analysis data.,"Downloaded tabular file contained Variable and Description columns, not participant rows.",Use only if a participant-level data file is identified.
