candidate_id,deferred_source_status,qualification_decision,review_queue,qualification_score,qualification_reasons,open_reuse_status,publication_status,randomization_status,human_clinical_status,raw_participant_data_signal,tabular_file_signal,participant_signal,treatment_signal,outcome_signal,title,publisher,repository_client,doi,url,publication_year,formats,rights_license_short,related_publications_short,description_short,next_action
RCTC-03206,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,MOESM1 of Phase 1 randomized controlled trial to evaluate the safety and immunogenicity of recombinant Pichia pastoris-expressed Plasmodium falciparum apical membrane antigen 1 (PfAMA1-FVO [25-545]) in healthy Malian adults in Bandiagara,Figshare,figshare.ars,10.6084/m9.figshare.c.3617936_d1.v1,https://springernature.figshare.com/articles/dataset/MOESM1_of_Phase_1_randomized_controlled_trial_to_evaluate_the_safety_and_immunogenicity_of_recombinant_Pichia_pastoris-expressed_Plasmodium_falciparum_apical_membrane_antigen_1_PfAMA1-FVO_25-545_in_healthy_Malian_adults_in_Bandiagara/4384121/1,2016,,CC BY + CC0 https://creativecommons.org/licenses/by/4.0,IsSupplementTo:DOI:10.1186/s12936-016-1466-4,Additional file 1. Raw data set of the IgG and GIA responses for the phase 1 trial of PfAMA1 FVO [25-545] in Malians adults in Bandiagara.,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-02326,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,Additional file 1 of Placebo effects improve sickness symptoms and drug efficacy during systemic inflammation: a randomized controlled trial in human experimental endotoxemia,figshare,figshare.ars,10.6084/m9.figshare.29817847,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Placebo_effects_improve_sickness_symptoms_and_drug_efficacy_during_systemic_inflammation_a_randomized_controlled_trial_in_human_experimental_endotoxemia/29817847,2025,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s12916-025-04292-8,Additional file 1. Data file with raw data reported on herein.,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-03829,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,Additional file 1 of The effect of EMPAgliflozin on markers of inflammation in patients with concomitant type 2 diabetes mellitus and Coronary ARtery Disease: the EMPA-CARD randomized controlled trial,figshare,figshare.ars,10.6084/m9.figshare.21582278.v1,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_The_effect_of_EMPAgliflozin_on_markers_of_inflammation_in_patients_with_concomitant_type_2_diabetes_mellitus_and_Coronary_ARtery_Disease_the_EMPA-CARD_randomized_controlled_trial/21582278/1,2022,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s13098-022-00951-5,Additional file 1: The Flow Cytometric assay results of per-patient levels of ROS at baseline (B) and week 26 (A).,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-06522,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,Additional file 2 of Effect of vitamin A on intestinal mucosal injury in pediatric patients receiving hematopoietic stem cell transplantation and chemotherapy: a quasai-randomized trial,figshare,figshare.ars,10.6084/m9.figshare.13047246.v1,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Effect_of_vitamin_A_on_intestinal_mucosal_injury_in_pediatric_patients_receiving_hematopoietic_stem_cell_transplantation_and_chemotherapy_a_quasai-randomized_trial/13047246/1,2020,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s13104-020-05307-8,Additional file 2: Raw data of the results in the study.,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-03828,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,Additional file 2 of The effect of EMPAgliflozin on markers of inflammation in patients with concomitant type 2 diabetes mellitus and Coronary ARtery Disease: the EMPA-CARD randomized controlled trial,figshare,figshare.ars,10.6084/m9.figshare.21582281,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_The_effect_of_EMPAgliflozin_on_markers_of_inflammation_in_patients_with_concomitant_type_2_diabetes_mellitus_and_Coronary_ARtery_Disease_the_EMPA-CARD_randomized_controlled_trial/21582281,2022,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s13098-022-00951-5,Additional file 2: The Flow Cytometric assay results of per-patient levels of platelet CD62P Ag expression at baseline (B) and week 26 (A).,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-06366,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,"Additional file 5 of Effect of a 1-year intervention comprising brief counselling sessions and low-dose physical activity recommendations in Japanese adults, and retention of the effect at 2 years: a randomized trial",figshare,figshare.ars,10.6084/m9.figshare.16869727,https://springernature.figshare.com/articles/dataset/Additional_file_5_of_Effect_of_a_1-year_intervention_comprising_brief_counselling_sessions_and_low-dose_physical_activity_recommendations_in_Japanese_adults_and_retention_of_the_effect_at_2_years_a_randomized_trial/16869727,2021,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s13102-021-00360-7,Additional file 5. Raw data (baseline).,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-06367,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,"Additional file 6 of Effect of a 1-year intervention comprising brief counselling sessions and low-dose physical activity recommendations in Japanese adults, and retention of the effect at 2 years: a randomized trial",figshare,figshare.ars,10.6084/m9.figshare.16869729.v1,https://springernature.figshare.com/articles/dataset/Additional_file_6_of_Effect_of_a_1-year_intervention_comprising_brief_counselling_sessions_and_low-dose_physical_activity_recommendations_in_Japanese_adults_and_retention_of_the_effect_at_2_years_a_randomized_trial/16869729/1,2021,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s13102-021-00360-7,Additional file 6. Raw data (+1 year).,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-06365,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,"Additional file 7 of Effect of a 1-year intervention comprising brief counselling sessions and low-dose physical activity recommendations in Japanese adults, and retention of the effect at 2 years: a randomized trial",figshare,figshare.ars,10.6084/m9.figshare.16869731,https://springernature.figshare.com/articles/dataset/Additional_file_7_of_Effect_of_a_1-year_intervention_comprising_brief_counselling_sessions_and_low-dose_physical_activity_recommendations_in_Japanese_adults_and_retention_of_the_effect_at_2_years_a_randomized_trial/16869731,2021,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s13102-021-00360-7,Additional file 7. Raw data (+2 years).,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-04410,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording; publisher supplement requires file-level confirmation,pass,pass,pass,pass,yes,no,yes,yes,no,"MOESM2 of Effects of a health educational intervention on malaria knowledge, motivation, and behavioural skills: a randomized controlled trial",figshare,figshare.ars,10.6084/m9.figshare.7750484.v1,https://springernature.figshare.com/articles/MOESM2_of_Effects_of_a_health_educational_intervention_on_malaria_knowledge_motivation_and_behavioural_skills_a_randomized_controlled_trial/7750484/1,2019,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s12936-019-2676-3,Additional file 2. Raw data of the study.,Keep deferred until a source-specific official download route or file manifest is identified.
RCTC-06057,Defer - missing access/file certainty,access_or_file_uncertain_defer,access_or_file_uncertain_queue.csv,17,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; raw or participant-level data wording; participant/patient/subject wording; treatment/group wording,pass,pass,pass,pass,yes,no,yes,yes,no,Raw data from the manuscript 'Morning exercise and pre-breakfast metformin interact to reduce glycaemia in people with Type 2 Diabetes: a randomized crossover trial' Pena Carrillo et al. 2023,figshare,figshare.ars,10.6084/m9.figshare.24081417,https://figshare.com/articles/dataset/Raw_data_from_the_manuscript_Morning_exercise_and_pre-breakfast_metformin_interact_to_reduce_glycaemia_in_people_with_Type_2_Diabetes_a_randomized_crossover_trial_Pena_Carrillo_et_al_2023/24081417,2023,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,,"In this study, nine male and nine females with type 2 diabetes undergoing metformin monotherapy (age 61±2 year, mean±SEM) completed a 16-week crossover trial including 2-week baseline recording, six weeks randomly assigned to a morning exercise (7-10am) or evening exercise (4-7pm), and a two-week wash-out period. Exercise arms consisted of 30 minutes of walking at 70% of estimated max-HR every other day. Glucose levels were measured with continuous glucose monitors and activity measured by wrist-worn monitors. Food-intake was recorded by 4-day food diaries during baseline, first and last 2 weeks of each exercise arm.There was no difference in exercise intensity, total caloric intake, or total physical activity between morning and evening arms. Acute glucose area under the curve, was lower ( p =0.02) after acute morning exercise (180.6±16.1 mmol/L) compared to baseline (210.3±18.0 mmol...",Keep deferred until a source-specific official download route or file manifest is identified.
