candidate_id,title,doi,repository,qualification_decision,final_queue,access_bucket,downloaded_file_count,download_failed_count,registered_file_count,archive_extracted_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,participant_level_status,treatment_assignment_status,outcome_status,reasons,best_readable_tables,treatment_evidence,outcome_evidence,metadata_error_summary,failed_download_errors,next_action
RCTC-03141,"Supplementary information files for ""Exercise as an anti-inflammatory therapy in Axial Spondyloarthritis Therapeutic Intervention (EXTASI) study: a randomized controlled trial""",10.17028/rd.lboro.28286774.v1,Loughborough University,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,1,0,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-05660,Data for: Effects of Dieting Associated with Combined aerobic and Resistance Training program on Body Composition and Cardiovascular Disease Risk Factors among Obese Students with Metabolic Syndrome,10.17632/j22h832thx,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,2,0,2,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-02645,Data for: Effects of repetitive transcranial magnetic stimulation in combination with a low-carbohydrate diet in overweight or obese patients. A randomized controlled trial.,10.17632/kdr3b4srbv,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,1,0,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-03085,"Data for: Efficacy of single-shot adductor canal block combined with posterior capsular infiltration on postoperative pain and functional outcome after total knee arthroplasty: a prospective, double-blind, randomized controlled study",10.17632/pxxtzgzgcz,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,2,0,2,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-02622,Data for: Multicenter randomized controlled trial comparing the effectiveness and safety of hydrocellular and hydrocolloid dressings for treatment of stage II pressure ulcers in patients at primary and long-term care institutions.,10.17632/2k98mvnk85,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,2,0,2,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-02610,Data for: Supervised physical therapy versus home exercise for patients with lumbar spinal stenosis: a randomized controlled trial,10.17632/vm8rg6rvsw,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,1,0,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-03017,"Data for: Which is the best use for tranexamic acid on patients with thoracolumbar fracture, topical, intravenous or combined? A randomized controlled clinical trial.",10.17632/5fj2mts5db,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,1,0,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-03034,"Data used in manuscript ""Optimal Dose of Pituitrin in Laparoscopic Uterine Myomectomy: a Prospective, Double-Blinded, Randomized Controlled Trial""",10.17632/7dc45xw2m7,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,6,0,6,0,0,pass,pass,pass,no,unclear_or_fail,pass,unclear_or_fail,participant-level rows not confirmed; outcomes not confirmed,,group inferred from file names,,,,Manual file/publication review before any cleaning.
RCTC-02490,"Effect of music therapy on the pressure pain threshold, cognitive function, and emotion: a randomized controlled trial",10.17632/3v4gpkm8b8,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,1,0,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
RCTC-03078,UPSIDE DOWNS,10.17632/93w6dmhptd,Mendeley,needs_manual_review_before_cleaning,needs_manual_review_before_cleaning,downloaded_or_inspected,1,0,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Manual file/publication review before any cleaning.
