candidate_id,predownload_status,predownload_score,predownload_reasons,direct_repository_signal,explicit_file_signal,publication_doi_signal,human_clinical_health_signal,participant_signal,open_license_signal,restriction_signal_strict,active_expansion_doi_match,original_paper_doi_match,title,publisher,repository_client,doi,url,publication_year,formats,rights_license_short,related_publications_short,description_short
RCTC-01363,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,A comparative study between Vitamin K1 and K2 on vascular calcification in hemodialysis patients: a randomized controlled trial,Dryad,dryad.dryad,10.5061/dryad.vx0k6djsv,https://datadryad.org/dataset/doi:10.5061/dryad.vx0k6djsv,2021,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1038/s41430-021-01050-w,"Background: Vascular calcification is a common complication of end stage renal disease patients, an important cause of cardiovascular disease and all-cause mortality. Vitamin K is essential for the activation of matrix Gla protein (MGP), a powerful inhibitor of tissue calcification. Different forms of vitamin K have been proposed to have a good impact on vascular calcification. However, clinical data are still limited on efficacy and safety of different forms of vitamin K. Methods : A prospective, randomized, placebo-controlled study that included 120 eligible hemodialysis patients who were randomly assigned to either vitamin k1 group (10 mg phytomenadione thrice weekly) or vitamin k2 group (90 ug daily) or placebo group for 3 months. Serum MGP, calcium, phosphorus, their product, and intact parathyroid hormone (iPTH) levels, were all assessed at baseline and at the end of the study. ..."
RCTC-01889,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,A feasibility randomized controlled superiority trial of fluticasone-vilanterol once daily use for the treatment of mild asthma in adults,Dryad,dryad.dryad,10.5061/dryad.bnzs7h4gq,https://datadryad.org/dataset/doi:10.5061/dryad.bnzs7h4gq,2023,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.12688/f1000research.136628.1,"Objectives Current international guidelines recommend using a combination of Long-Acting Beta-Agonists and Inhaled Corticosteroids (LABA+ICS) therapy for symptomatic mild asthma. However, this change has yet to be widely implemented in the Middle East. The objective of this pilot study is to assess the feasibility (recruitment and retention rates) of conducting a future definitive RCT to investigate the effectiveness of fluticasone-vilanterol (LABA+ICS) in the management of mild asthma in adults, compared with usual care. Design This 8-month parallel two-arm pilot trial took place in the Kingdom of Bahrain. We randomly assigned 18 patients with mild asthma in a 1:1 ratio to the treatment (n=10) or usual care (n=8) arms. The treatment group received daily LABA+ICS therapy while the usual care group continued as required SABA or SABA+ICS combination. The main outcome measures were descr..."
RCTC-00135,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,"Data and statistical codes for: Reliability of urological telesurgery compared to local surgery: A multicenter, randomised controlled trial",Dryad,dryad.dryad,10.5061/dryad.t4b8gtjg8,https://datadryad.org/dataset/doi:10.5061/dryad.t4b8gtjg8,2025,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1136/bmj-2024-083588,"This multicenter, non-inferiority randomized controlled trial investigated whether telesurgery is as reliable as standard local surgery for patients undergoing urological robotic operations, using a prespecified non-inferiority margin of a 0.1 absolute reduction in surgical success probability. Conducted at five hospitals in China from December to June, the study enrolled patients scheduled for radical prostatectomy or partial nephrectomy and randomly assigned them 1:1 to telesurgery or local surgery. The primary outcome was surgical success probability, assessed by the medical team based on predefined criteria, alongside 13 clinical secondary outcomes related to the operation and early recovery, one secondary outcome assessing medical team workload, and four technical secondary outcomes evaluating network latency, display latency, frame loss, and system malfunction; participants were..."
RCTC-01930,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,"Data from: 8-way randomized controlled trial of doxylamine, pyridoxine and dicyclomine for nausea and vomiting during pregnancy: restoration of unpublished information",Dryad,dryad.dryad,10.5061/dryad.7gt44,https://datadryad.org/dataset/doi:10.5061/dryad.7gt44,2017,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1371/journal.pone.0167609,"Objectives: We report information about an unpublished 1970s study (“8-way” Bendectin Study) that aimed to evaluate the relative therapeutic efficacy of doxylamine, pyridoxine, and dicyclomine in the management of nausea and vomiting during pregnancy. We are publishing the trial's findings according to the restoring invisible and abandoned trials (RIAT) initiative because the trial was never published. Design: Double blinded, multi-centred, randomized placebo-controlled study. Setting: 14 clinics in the United States. Participants: 2308 patients in the first 12 weeks of pregnancy with complaints of nausea or vomiting were enrolled. Interventions: Each patient was randomized to one of eight arms: placebo, doxylamine/pyridoxine/dicylcomine, doxylamine/pyridoxine, dicylomine/pyridoxine, doxylamine, dicyclomine/pyridoxine, pyridoxine and dicyclomine. Each patient was instructed to take 2 ..."
RCTC-00888,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,Data from: A 12-week exercise program for pregnant women with obesity to improve physical activity levels: an open randomised preliminary study,Dryad,dryad.dryad,10.5061/dryad.87f03,https://datadryad.org/dataset/doi:10.5061/dryad.87f03,2016,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1371/journal.pone.0137742,"Objective: To evaluate whether a 12-week supervised exercise program promotes an active lifestyle throughout pregnancy in pregnant women with obesity. Methods: In this preliminary randomised trial, pregnant women (body mass index ≥ 30 kg/m2) were allocated to either standard care or supervised training, from 15 to 27 weeks of gestation. Physical activity was measured by accelerometry at 14, 28 and 36 weeks, while fitness (oxygen consumption (VO2) at the anaerobic threshold), nutrition (caloric intake and macronutrients percentage) and anthropometry were assessed at 14 and 28 weeks of gestation. Analyses were performed using repeated measures ANOVA. Results: A total of fifty (50) women were randomised, 25 in each group. There was no time-group interaction for time spent at moderate and vigorous activity (pinteraction = 0.064), but the exercise group’s levels were higher than controls’ ..."
RCTC-01937,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,Data from: A randomised controlled pilot study of standardised counselling and cost-free pharmacotherapy for smoking cessation among stroke and TIA patients,Dryad,dryad.dryad,10.5061/dryad.p67jf576,https://datadryad.org/dataset/doi:10.5061/dryad.p67jf576,2011,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1136/bmjopen-2011-000366,"BACKGROUND: Tobacco use is a major risk factor for recurrent stroke. Very few studies have been performed to support smoking cessation among patients who have experienced a stroke or TIA. The purpose of this pilot study was to assess the feasibility and obtain preliminary data on the effectiveness of providing cost-free quit smoking pharmacotherapy and counselling to smokers identified in a stroke prevention clinic. DESIGN: Randomized controlled trial. METHODS: All patients seen at the Ottawa Hospital Stroke Prevention Clinic were screened for smoking status, advised to quit smoking and treated using a standardized protocol including counselling and pharmacotherapy. Eligible smokers were randomly assigned to either a prescription only usual care group, or, the experimental group who received a 4-week supply of cost-free quit smoking medications and prescription for medication renewal...."
RCTC-00893,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,Data from: A randomised trial comparing the clinical effectiveness of different emergency department healthcare professionals in soft tissue injury management,Dryad,dryad.dryad,10.5061/dryad.8jf11,https://datadryad.org/dataset/doi:10.5061/dryad.8jf11,2012,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1136/bmjopen-2012-001092,"OBJECTIVE: To evaluate the clinical effectiveness of soft tissue injury management by emergency nurse practitioners (ENPs) and extended scope physiotherapists (ESPs) compared to the routine care provided by doctors in a UK emergency department (ED). DESIGN: Randomised, pragmatic trial of equivalence. SETTING: One adult ED in England. PARTICIPANTS: 372 patients were randomised; 126 to the ESP group, 123 to the ENP group and 123 to the doctor group. Participants were adults (older than 16 years) presenting to the ED with a peripheral soft tissue injury eligible for management by any of the three professional groups. Patients were excluded if they had any of the following: injury greater than 72 hours old; systemic disease; dislocated joints; recent surgery; unable to give informed consent (eg, dementia), open wounds; major deformities; opiate analgesia required; concurrent chest/rib inj..."
RCTC-01912,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,"Data from: A randomized, placebo-controlled phase 2 trial of laquinimod in primary progressive multiple sclerosis",Dryad,dryad.dryad,10.5061/dryad.dz08kprtc,https://datadryad.org/dataset/doi:10.5061/dryad.dz08kprtc,2022,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1212/wnl.0000000000010284,"Objective: To evaluate efficacy, safety, and tolerability of laquinimod in patients with primary progressive multiple sclerosis (PPMS). Methods: In the randomized, double-blind, placebo-controlled, phase 2 study ARPEGGIO (A Randomized Placebo-controlled trial Evaluating laquinimod in PPMS, Gauging Gradations In MRI and clinical Outcomes), eligible PPMS patients were randomized 1:1:1 to receive once-daily oral laquinimod 0.6 mg or 1.5 mg or matching placebo. Percentage brain volume change (PBVC; primary endpoint) from baseline to week 48 was assessed by MRI. Secondary and exploratory endpoints included clinical and MRI measures. Efficacy endpoints were evaluated using a predefined, hierarchical statistical testing procedure. Safety was monitored throughout the study. The laquinimod 1.5 mg dose arm was discontinued on January 1, 2016 due to findings of cardiovascular events. Results: 37..."
RCTC-00175,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,Data from: Adjunctive clindamycin for cellulitis: clinical trial comparing flucloxacillin with or without clindamycin for the treatment of limb cellulitis,Dryad,dryad.dryad,10.5061/dryad.5q1j0,https://datadryad.org/dataset/doi:10.5061/dryad.5q1j0,2017,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1136/bmjopen-2016-013260,"Objective: To compare flucloxacillin with clindamycin to flucloxacillin alone for the treatment of limb cellulitis. Design: Parallel, double-blinded, randomised controlled trial. Setting: Emergency department attendances and general practice referrals within 20 hospitals in England. Interventions: Flucloxacillin, at a minimum of 500 mg 4 times per day for 5 days, with clindamycin 300 mg 4 times per day for 2 days given orally versus flucloxacillin given alone. Main outcome measures: The primary outcome was improvement at day 5. This was defined as being afebrile with either a reduction in affected skin surface temperature or a reduction in the circumference of the affected area. Secondary outcomes included resolution of systemic features, resolution of inflammatory markers, recovery of renal function, reduction in the affected area, decrease in pain, return to work or normal activitie..."
RCTC-05250,Landing page / file manifest first,9,direct/open repository client; publication DOI signal; human clinical/health signal; participant/treatment-arm signal; open license signal,yes,no,yes,yes,yes,yes,no,,,Data from: Ambulatory versus inpatient management of severe nausea and vomiting of pregnancy: a randomized control trial with patient preference arm,Dryad,dryad.dryad,10.5061/dryad.c3g48,https://datadryad.org/dataset/doi:10.5061/dryad.c3g48,2017,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1136/bmjopen-2017-017566,"ABSTRACT Objective To determine whether ambulatory (outpatient, OP) treatment of severe nausea and vomiting of pregnancy (NVP) is as effective as inpatient (IP) care. Design Non-blinded randomized control trial (RCT) with patient preference arm Setting Multi-center Participants Women less than 20 weeks pregnant with severe NVP and associated ketonuria Methods Women participating in the RCT were randomized via web-based application to either ambulatory or IP treatment. Women declining randomisation entered the patient preference trial (PPT) arm. Protocols, data collection and follow-up were the same for all participants. Main Outcome Measures Primary outcome was reduction in Pregnancy Unique Quantification of Emesis (PUQE) score at 48 hours. Secondary outcomes were duration of treatment; improvement in symptom scores and ketonuria at 48 hours; re-attendances within 7 days of discharge;..."
