Trial_ID,Original_Trial_ID,Candidate_ID,Primary_Publication_Found,Outcome_Audit_Status,Decision,Analysis_Ready,Blocking_Reason,Next_Action,Review_Notes
B06,81,RCTC-02120,TRUE,not_auditable_model_target,not_analysis_ready_after_audit,FALSE,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.,Paper reports model-based one-year intervention effects; compact cleaned endpoint/delta summaries do not reproduce the longitudinal SEM target.
B07,82,RCTC-02392,TRUE,analysis_filter_not_reconstructed,not_analysis_ready_after_audit,FALSE,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.,"The source includes syntax for the paper filter, but the compact cleaned data do not contain all paper filter variables and include 133 participants."
B08,83,RCTC-01479,TRUE,model_not_reproduced,not_analysis_ready_after_audit,FALSE,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.,"Cleaned data contain the gVL outcomes, but the paper primary target is an adjusted longitudinal odds ratio not reproduced by the compact audit."
B09,84,RCTC-01467,TRUE,not_auditable_longitudinal_target,not_analysis_ready_after_audit,FALSE,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.,The paper primary target is visit-level longitudinal adherence; the preliminary cleaned table keeps a compact final adherence percentage.
81,85,RCTC-01535,TRUE,primary_target_pass,analysis_ready,TRUE,NA,Eligible for final active trial81-trial86 analysis-ready set.,The paper's 24-hour nausea/PONV counts reproduce from nonmissing source outcomes after combining aprepitant dose arms.
82,86,RCTC-01411,TRUE,primary_target_pass,analysis_ready,TRUE,NA,Eligible for final active trial81-trial86 analysis-ready set.,The overall POAF event count and rate reproduce exactly from the cleaned binary outcome.
B10,87,RCTC-01501,TRUE,adjusted_target_not_reproduced,not_analysis_ready_after_audit,FALSE,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.,"Arm labels were verified in the codebook, but the paper's adjusted weight target is not reproduced by simple cleaned means."
B11,88,RCTC-01824,FALSE,no_publication_audit_possible,exclude_no_primary_publication,FALSE,No associated main results publication identified.,Archived under backup/Bxx until a valid main publication is found.,"I found dataset and registry information but no associated main results publication, so no primary-publication audit can be completed."
83,89,RCTC-00485,TRUE,primary_target_pass_with_rounding_note,analysis_ready,TRUE,NA,Eligible for final active trial81-trial86 analysis-ready set.,Primary PAL and total-energy-intake change summaries reproduce the table values; one near-zero rounded PAL row is flagged by strict 5 percent tolerance.
B12,90,RCTC-03815,TRUE,cleaned_primary_mismatch,needs_reclean_to_publication_primary,FALSE,Cleaned primary outcomes do not match the publication primary outcomes.,Reclean around feasibility/usability primary outcomes before re-auditing.,The current cleaned file uses secondary cognitive Qmci outcomes and excludes two feasibility records; it needs recleaning around the paper primary feasibility outcomes.
84,91,RCTC-04054,TRUE,madrs_primary_target_pass_phq_partial,analysis_ready_with_notes,TRUE,NA,Eligible if MADRS is treated as the auditable primary outcome; recalc PHQ before using it as co-primary.,MADRS primary pre/post/change targets reproduce within tolerance; one PHQ-9 CBT change row is outside the strict 5 percent tolerance.
85,92,RCTC-05110,TRUE,primary_target_pass,analysis_ready,TRUE,NA,Eligible for final active trial81-trial86 analysis-ready set.,Baseline and post-treatment BPI average pain means and SDs reproduce the reported table values.
86,93,RCTC-05268,TRUE,primary_target_pass,analysis_ready,TRUE,NA,Eligible for final active trial81-trial86 analysis-ready set.,The active-arm mITT count 47 of 71 reproduces the preprint primary microbiome detection target.
B13,94,RCTC-04273,TRUE,partial_fail_exact_sample_rule,not_analysis_ready_after_audit,FALSE,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",Archived under backup/Bxx unless the exact publication model/filter is implemented and passes.,"Control and monitor-only cortisol means are close, but the Monitor + Accept AUC-I target does not reproduce from the compact cleaned data."
