Original_Trial_ID,New_Trial_ID,Backup_ID,Candidate_ID,Decision,Final_Status,Blocking_Reason,Review_Notes
85,81,NA,RCTC-01535,analysis_ready,active,NA,The paper's 24-hour nausea/PONV counts reproduce from nonmissing source outcomes after combining aprepitant dose arms.
86,82,NA,RCTC-01411,analysis_ready,active,NA,The overall POAF event count and rate reproduce exactly from the cleaned binary outcome.
89,83,NA,RCTC-00485,analysis_ready,active,NA,Primary PAL and total-energy-intake change summaries reproduce the table values; one near-zero rounded PAL row is flagged by strict 5 percent tolerance.
91,84,NA,RCTC-04054,analysis_ready_with_notes,active,NA,MADRS primary pre/post/change targets reproduce within tolerance; one PHQ-9 CBT change row is outside the strict 5 percent tolerance.
92,85,NA,RCTC-05110,analysis_ready,active,NA,Baseline and post-treatment BPI average pain means and SDs reproduce the reported table values.
93,86,NA,RCTC-05268,analysis_ready,active,NA,The active-arm mITT count 47 of 71 reproduces the preprint primary microbiome detection target.
81,NA,B06,RCTC-02120,not_analysis_ready_after_audit,backup,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",Paper reports model-based one-year intervention effects; compact cleaned endpoint/delta summaries do not reproduce the longitudinal SEM target.
82,NA,B07,RCTC-02392,not_analysis_ready_after_audit,backup,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.","The source includes syntax for the paper filter, but the compact cleaned data do not contain all paper filter variables and include 133 participants."
83,NA,B08,RCTC-01479,not_analysis_ready_after_audit,backup,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.","Cleaned data contain the gVL outcomes, but the paper primary target is an adjusted longitudinal odds ratio not reproduced by the compact audit."
84,NA,B09,RCTC-01467,not_analysis_ready_after_audit,backup,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.",The paper primary target is visit-level longitudinal adherence; the preliminary cleaned table keeps a compact final adherence percentage.
87,NA,B10,RCTC-01501,not_analysis_ready_after_audit,backup,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.","Arm labels were verified in the codebook, but the paper's adjusted weight target is not reproduced by simple cleaned means."
88,NA,B11,RCTC-01824,exclude_no_primary_publication,backup,No associated main results publication identified.,"I found dataset and registry information but no associated main results publication, so no primary-publication audit can be completed."
90,NA,B12,RCTC-03815,needs_reclean_to_publication_primary,backup,Cleaned primary outcomes do not match the publication primary outcomes.,The current cleaned file uses secondary cognitive Qmci outcomes and excludes two feasibility records; it needs recleaning around the paper primary feasibility outcomes.
94,NA,B13,RCTC-04273,not_analysis_ready_after_audit,backup,"Publication primary target was model-based, longitudinal, filtered, or otherwise not reproduced by the compact cleaned data.","Control and monitor-only cortisol means are close, but the Monitor + Accept AUC-I target does not reproduce from the compact cleaned data."
