iteration_id,recorded_date,stage_order,stage_id,parent_stage_id,node_label,count,node_kind,criteria,source_output,notes
broad_api_screen_2026_06_08,2026-06-09,1,api_rct_phrase_records,,All RCT-phrase dataset records from public API searches,20743,source,DataCite dataset records for four randomized/randomised trial phrases plus Harvard Dataverse native dataset searches,outputs/rct_candidate_screening/processed/source_pages.csv,"Raw metadata records; includes duplicates, versions, non-RCT records, restricted records, and non-usable records."
current_curated_repository_2026_06_09,2026-06-09,1,current_curated_benchmark,,Current curated RCT benchmark,80,final_analysis,Cleaned participant-level datasets already present in the repository,cleaned_data/Non_Clustered_RCT; rct_expansion/cleaned_data,This current benchmark branch is not necessarily a direct subset of the broad 2026-06-08 metadata screen.
current_curated_repository_2026_06_09,2026-06-09,2,current_expansion_active,current_curated_benchmark,Active expansion analysis-ready trials,30,final_analysis,Expansion trials 51 through 80 with active cleaned CSV/RDS files,rct_expansion/cleaned_data,Active expansion set.
current_curated_repository_2026_06_09,2026-06-09,2,current_expansion_backup,current_curated_benchmark,Archived backup expansion trials,5,exclusion,Archived trials excluded from active outputs because publication/source/reproducibility criteria were not fully satisfied,rct_expansion/backup; rct_expansion/provenance/backup_trials.csv,Backup trials remain excluded unless their backup reasons are resolved.
current_curated_repository_2026_06_09,2026-06-09,2,current_original_nonclustered,current_curated_benchmark,Original non-clustered analysis-ready trials,50,final_analysis,Existing cleaned non-clustered benchmark trials,cleaned_data/Non_Clustered_RCT,Original analysis set.
broad_api_screen_2026_06_08,2026-06-09,2,deduplicated_metadata_candidates,api_rct_phrase_records,Deduplicated candidate dataset entries,7280,screening,"Deduplicate by concept/identical/version DOI when available, otherwise normalized title and repository key",outputs/rct_candidate_screening/processed/candidate_records.csv,"Candidate entries are metadata-level records, not confirmed eligible trials."
broad_api_screen_2026_06_08,2026-06-09,3,likely_not_qualified_metadata,deduplicated_metadata_candidates,Likely not qualified by crude metadata screen,3199,exclusion,"Detected restriction/DUA, cluster randomization, protocol/materials-only record, or weak RCT/data/publication evidence",outputs/rct_candidate_screening/processed/candidate_records.csv,Excluded from first-pass priority but can be revisited if metadata was misleading.
broad_api_screen_2026_06_08,2026-06-09,3,likely_qualified_metadata,deduplicated_metadata_candidates,Likely qualified by crude metadata screen,1223,inclusion,"RCT signal plus associated publication, open/no-DUA signal, individual-level signal, and no detected restriction or cluster/protocol-only signal",outputs/rct_candidate_screening/processed/candidate_records.csv,"Not analysis-ready until paper review, cleaning, validation, and outcome reproducibility audit are complete."
broad_api_screen_2026_06_08,2026-06-09,3,needs_manual_review_metadata,deduplicated_metadata_candidates,Needs manual review,2858,review,RCT-looking and publication-backed but one or more publication/open-access/individual-level/data-file signals are weak or missing,outputs/rct_candidate_screening/processed/candidate_records.csv,Manual repository-file inspection is needed before accepting or excluding.
predownload_screen_2026_06_09,2026-06-09,4,predownload_already_active_expansion,likely_qualified_metadata,Already active expansion dataset,2,exclusion,Candidate DOI or related DOI matches active expansion download log,rct_expansion/provenance/download_log.csv,Do not redownload.
predownload_screen_2026_06_09,2026-06-09,4,predownload_already_original_benchmark,likely_qualified_metadata,Already original benchmark paper,12,exclusion,Candidate related publication DOI matches original 50-trial metadata,cleaned_data/meta_data.xlsx,Do not duplicate original benchmark trials.
predownload_screen_2026_06_09,2026-06-09,4,predownload_defer_low_confidence,likely_qualified_metadata,Defer: low clinical or data confidence,51,review,Metadata does not strongly support human clinical/health RCT data or publication/file readiness,outputs/rct_candidate_screening/predownload_screen/likely_qualified_predownload_screen.csv,"Keep for later broad review, not current download workload."
predownload_screen_2026_06_09,2026-06-09,4,predownload_defer_missing_access,likely_qualified_metadata,Defer: missing access or file certainty,653,review,"Publication-backed health record, but source or file/access metadata is too sparse for the first download batch",outputs/rct_candidate_screening/predownload_screen/likely_qualified_predownload_screen.csv,Mostly publisher-hosted or sparse metadata records.
