Trial_ID,Paper Name,Paper Link,Citation,publication_folder
51,The impact of sleep hygiene education and lavender essential oil inhalation on the sleep quality and overall well-being of athletes who undergo late-evening training: a randomized controlled trial,https://doi.org/10.12688/f1000research.150977.1,Salem et al. F1000Research. 2024;13:720. doi:10.12688/f1000research.150977.1,publications/trial51
52,Efficacy of tenapanor in managing hyperphosphatemia and constipation in hemodialysis patients: A randomized controlled trial,https://doi.org/10.1371/journal.pone.0319319,Suzuki et al. PLOS One. 2025;20(6):e0319319. doi:10.1371/journal.pone.0319319,publications/trial52
53,"Analgesic Effect of Ultrasound-Guided Anterior Quadratus Lumborum Block at the L2 Level in Patients Undergoing Laparoscopic Partial Nephrectomy: A Single-Center, Randomized Controlled Trial",https://doi.org/10.1155/2022/8958859,He et al. Pain Research and Management. 2022;2022:8958859. doi:10.1155/2022/8958859,publications/trial53
54,Effect of Vaginal Spheres and Pelvic Floor Exercises on Female Sexual Function in Women with Urinary Incontinence: A Randomized Controlled Trial (Secondary Analysis),https://doi.org/10.1007/s00192-025-06404-7,Blanco-Ratto et al. International Urogynecology Journal. 2025/2026;37(4):945-955. doi:10.1007/s00192-025-06404-7,publications/trial54
55,Taking Charge After Acute Exacerbation of Chronic Obstructive Pulmonary Disease: A Randomized Controlled Feasibility Trial of a Psychologically Informed Self-Management Intervention,https://doi.org/10.2147/COPD.S393644,Levack et al. International Journal of Chronic Obstructive Pulmonary Disease. 2023;18:317-325. doi:10.2147/COPD.S393644,publications/trial55
56,Transcranial direct current stimulation and attention skills in burnout patients: a randomized blinded sham-controlled pilot study,https://doi.org/10.12688/f1000research.21831.2,Van Noppen et al. F1000Research. 2020;9:116. doi:10.12688/f1000research.21831.2,publications/trial56
57,Functional imagery training versus motivational interviewing for weight loss: a randomised controlled trial of brief individual interventions for overweight and obesity,https://doi.org/10.1038/s41366-018-0122-1,Solbrig et al. International Journal of Obesity. 2019;43:883-894. doi:10.1038/s41366-018-0122-1,publications/trial57
58,Transcranial direct current stimulation and cognitive training in the treatment of cognitive deficit in schizophrenia: a randomized controlled trial,https://doi.org/10.1186/s12888-025-07749-5,Stuchlikova et al. BMC Psychiatry. 2026;26:102. doi:10.1186/s12888-025-07749-5,publications/trial58
59,Acute effects of tissue flossing on ankle range of motion in athletes with limited ankle dorsiflexion: a randomized controlled trial,https://doi.org/10.1186/s13102-025-01484-w,"Daneshmandi et al. BMC Sports Science, Medicine and Rehabilitation. 2025;17:375. doi:10.1186/s13102-025-01484-w",publications/trial59
60,Interferential current stimulation during dental facial treatment improves masticatory function,https://doi.org/10.1038/s41598-026-36307-6,Scientific Reports. 2026. doi:10.1038/s41598-026-36307-6,publications/trial60
61,"A Dietary Supplement Containing Cinnamon, Chromium and Carnosine Decreases Fasting Plasma Glucose and Increases Lean Mass in Overweight or Obese Pre-Diabetic Subjects: A Randomized, Placebo-Controlled Trial",https://doi.org/10.1371/journal.pone.0138646,Liu et al. PLOS One. 2015;10(9):e0138646. doi:10.1371/journal.pone.0138646,publications/trial61
62,Late Conversion of Kidney Transplant Recipients from Ciclosporin to Tacrolimus Improves Graft Function: Results from a Randomized Controlled Trial,https://doi.org/10.1371/journal.pone.0135674,Plischke et al. PLOS One. 2015;10(8):e0135674. doi:10.1371/journal.pone.0135674,publications/trial62
63,High-intensity interval training versus progressive high-intensity circuit resistance training on endothelial function and cardiorespiratory fitness in heart failure: A preliminary randomized controlled trial,https://doi.org/10.1371/journal.pone.0257607,Turri-Silva et al. PLOS One. 2021;16(10):e0257607. doi:10.1371/journal.pone.0257607,publications/trial63
64,"Low-dose, non-supervised, health insurance initiated exercise for the treatment and prevention of chronic low back pain in employees. Results from a randomized controlled trial",https://doi.org/10.1371/journal.pone.0178585,Haufe et al. PLOS One. 2017;12(6):e0178585. doi:10.1371/journal.pone.0178585,publications/trial64
65,Can transcranial direct current stimulation (tDCS) over the motor cortex increase endurance running performance? a randomized crossover-controlled trial,https://doi.org/10.1371/journal.pone.0312084,Martens et al. PLOS One. 2024;19(12):e0312084. doi:10.1371/journal.pone.0312084,publications/trial65
66,Ashtanga-Based Yoga Therapy Increases the Sensory Contribution to Postural Stability in Visually-Impaired Persons at Risk for Falls as Measured by the Wii Balance Board: A Pilot Randomized Controlled Trial,https://doi.org/10.1371/journal.pone.0129646,Jeter et al. PLOS One. 2015;10:e0129646. doi:10.1371/journal.pone.0129646,publications/trial66
67,Middle molecule clearance with high cut-off dialyzer versus high-flux dialyzer using continuous veno-venous hemodialysis with regional citrate anticoagulation: A prospective randomized controlled trial,https://doi.org/10.1371/journal.pone.0215823,Weidhase et al. PLOS One. 2019;14(4):e0215823. doi:10.1371/journal.pone.0215823,publications/trial67
68,A randomized controlled trial of a brain-computer interface based attention training program for ADHD,https://doi.org/10.1371/journal.pone.0216225,Lim et al. PLOS One. 2019;14(5):e0216225. doi:10.1371/journal.pone.0216225,publications/trial68
69,A Randomized Controlled Trial on the Effect of Tapentadol and Morphine on Conditioned Pain Modulation in Healthy Volunteers,https://doi.org/10.1371/journal.pone.0128997,Martini et al. PLOS One. 2015;10(6):e0128997. doi:10.1371/journal.pone.0128997,publications/trial69
70,"Enhancing Cognitive Abilities with Comprehensive Training: A Large, Online, Randomized, Active-Controlled Trial",https://doi.org/10.1371/journal.pone.0134467,Hardy et al. PLOS One. 2015;10(9):e0134467. doi:10.1371/journal.pone.0134467,publications/trial70
71,Effectiveness of antenatal screening of asymptomatic bacteriuria in reduction of prematurity and low birth weight: Evaluating a point-of-care rapid test in a pragmatic randomized controlled study,https://doi.org/10.1016/j.eclinm.2021.100762,Gehani et al. EClinicalMedicine. 2021;33:100762. doi:10.1016/j.eclinm.2021.100762,publications/trial71
72,"Treatment of post-partum haemorrhage with sublingual misoprostol versus oxytocin in women not exposed to oxytocin during labour: a double-blind, randomised, non-inferiority trial",https://doi.org/10.1016/S0140-6736(09)61924-3,Winikoff et al. Lancet. 2010;375(9710):210-216. doi:10.1016/S0140-6736(09)61924-3,publications/trial72
73,Coping with Complications that Occur after Prostate Biopsy for Satisfactory Evaluation of Call Service Using Artificial Intelligence: A Pilot Randomized Controlled Trial,https://doi.org/10.5534/wjmh.240191,The World Journal of Men's Health. 2025. doi:10.5534/wjmh.240191,publications/trial73
74,Effect of a Home-Base Core Stability Exercises in Hereditary Ataxia. A Randomized Controlled Trial. A Pilot Randomized Controlled Trial,https://doi.org/10.1002/mdc3.14036,Cabanas-Valdes et al. Movement Disorders Clinical Practice. 2024. doi:10.1002/mdc3.14036,publications/trial74
75,"Is conventional radiofrequency ablation of the superolateral branch, one of the three genicular nerves targeted as standard, necessary or not? A non-inferiority randomized controlled trial",https://doi.org/10.3344/kjp.24098,Korean Journal of Pain. 2024. doi:10.3344/kjp.24098,publications/trial75
76,Comparison of time-segmented-target teaching and traditional teaching methods for spinal puncture: a randomized trial,https://doi.org/10.3389/feduc.2025.1665203,Frontiers in Education. 2025. doi:10.3389/feduc.2025.1665203,publications/trial76
77,The effectiveness of core stability exercises on functional outcomes in early subacute stroke recovery: a randomized controlled trial,https://doi.org/10.1080/10749357.2024.2439712,Topics in Stroke Rehabilitation. 2025. doi:10.1080/10749357.2024.2439712,publications/trial77
78,Regional moderate hyperthermia for mild-to-moderate COVID-19 (TherMoCoV study): a randomized controlled trial,https://doi.org/10.3389/fmed.2023.1256197,Mancilla-Galindo et al. Frontiers in Medicine. 2023. doi:10.3389/fmed.2023.1256197,publications/trial78
79,Development and effects of a webtoon education program on preventive self-management related to premature labor for women of childbearing age: a randomized controlled trial,https://doi.org/10.4069/kjwhn.2022.09.22,Korean Journal of Women Health Nursing. 2022;28(3). doi:10.4069/kjwhn.2022.09.22,publications/trial79
80,Efficacy of a Digital Peer Support Program on Weight Management and Mental Health in University Students With Preobesity: Randomized Controlled Trial,https://doi.org/10.2196/78960,JMIR mHealth and uHealth. 2026. doi:10.2196/78960,publications/trial80
81,Aprepitant for prevention of postoperative nausea and vomiting after laparoscopic sleeve gastrectomy,https://doi.org/10.1007/s11695-024-07129-0,Aprepitant for prevention of postoperative nausea and vomiting after laparoscopic sleeve gastrectomy. Obesity Surgery. 2024. DOI: 10.1007/s11695-024-07129-0,publications/trial81
82,Effect of Tocovid on postoperative atrial fibrillation after CABG,https://doi.org/10.31083/j.rcm2304122,Effect of Tocovid on postoperative atrial fibrillation after CABG. Reviews in Cardiovascular Medicine. 2022. DOI: 10.31083/j.rcm2304122,publications/trial82
83,Effects of a web-based evolutionary mismatch-framed intervention targeting physical activity and diet,https://doi.org/10.1007/s12529-019-09821-3,Effects of a web-based evolutionary mismatch-framed intervention targeting physical activity and diet. International Journal of Behavioral Medicine. 2019. DOI: 10.1007/s12529-019-09821-3,publications/trial83
84,Bouldering psychotherapy is not inferior to cognitive behavioural therapy in the group treatment of depression,https://doi.org/10.1111/bjc.12347,Bouldering psychotherapy is not inferior to cognitive behavioural therapy in the group treatment of depression. British Journal of Clinical Psychology. 2022. DOI: 10.1111/bjc.12347,publications/trial84
85,Virtual reality neuroscience therapy for chronic back pain,https://doi.org/10.1097/j.pain.0000000000003198,Virtual reality neuroscience therapy for chronic back pain. Pain. 2024. DOI: 10.1097/j.pain.0000000000003198,publications/trial85
86,VIBRANT trial primary and secondary outcomes,https://doi.org/10.1101/2025.09.18.25336053,VIBRANT trial primary and secondary outcomes. medRxiv preprint. 2025. DOI: 10.1101/2025.09.18.25336053,publications/trial86
