candidate_id,title,doi,repository,qualification_decision,final_queue,access_bucket,downloaded_file_count,download_failed_count,registered_file_count,archive_extracted_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,participant_level_status,treatment_assignment_status,outcome_status,reasons,best_readable_tables,treatment_evidence,outcome_evidence,metadata_error_summary,failed_download_errors,next_action
RCTC-00158,Data from: Are statin trials in diabetes representative of real-world diabetes care: a population-based study on statin initiators in Finland,10.5061/dryad.4m94c,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,unclear_or_fail,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; individual randomization not confirmed by metadata; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-05229,Data from: BCI training to move a virtual hand reduces phantom limb pain: a randomized crossover trial,10.5061/dryad.15dv41nt9,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,yes,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; crossover design requires method decision before benchmark cleaning; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-00170,"Data from: Can recombinant human thrombomodulin increase survival among patients with severe septic-induced disseminated intravascular coagulation: a single-centre, open-label, randomised controlled trial",10.5061/dryad.2n6v4,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-00173,Data from: Cost-effectiveness of a specialist geriatric medical intervention for frail older people discharged from acute medical units: economic evaluation in a two-centre randomised controlled trial (AMIGOS),10.5061/dryad.6vh02,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-01948,Data from: Early sitting in ischemic stroke patients (SEVEL): a randomized controlled trial,10.5061/dryad.jh15q,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-00180,Data from: Economic evaluation of a general hospital unit for older people with delirium and dementia (TEAM randomised controlled trial),10.5061/dryad.90p17,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-00895,Data from: Efficacy and safety of four weeks’ treatment with combined fluticasone furoate/vilanterol in a single inhaler given once daily in COPD: a placebo-controlled randomised trial,10.5061/dryad.7p1r30q5,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-01934,"Data from: First-in-human randomized controlled trial of an oral, replicating Adenovirus 26 vector vaccine for HIV-1",10.5061/dryad.697r480,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-05235,Data from: Home-based TB contact investigation in Uganda: a household-randomized trial,10.5061/dryad.kn4gv14,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-01383,Data from: Intravenous ferumoxytol versus oral ferrous sulfate for iron deficiency anemia in pregnancy: A randomized controlled trial,10.5061/dryad.k3j9kd5qd,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-00161,Data from: Long-term use benefits of personal frequency-modulated systems for speech in noise perception in patients with stroke with auditory processing deficits: a non-randomised controlled trial study,10.5061/dryad.3hg4k,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
RCTC-00896,Data from: Multilayered and digitally structured presentation formats of trustworthy recommendations: a combined survey and randomised trial,10.5061/dryad.2qv30,Dryad,not_qualified_before_cleaning,access_retry_rate_limited,access_retry_rate_limited,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,curl: (56) The requested URL returned error: 429,,Do not clean unless metadata/access issue is resolved.
