candidate_id,deferred_source_status,qualification_decision,review_queue,qualification_score,qualification_reasons,open_reuse_status,publication_status,randomization_status,human_clinical_status,raw_participant_data_signal,tabular_file_signal,participant_signal,treatment_signal,outcome_signal,title,publisher,repository_client,doi,url,publication_year,formats,rights_license_short,related_publications_short,description_short,next_action
RCTC-00288,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,15,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; participant/patient/subject wording; treatment/group wording; outcome/endpoint wording,pass,pass,pass,pass,no,no,yes,yes,yes,"Intravenous immunoglobulin combined with intravenous methylprednisolone versus intravenous immunoglobulin only as induction treatment in chronic inflammatory demyelinating polyradiculoneuropathy: a randomised, double-blind, placebo-controlled, phase 3 study.",DataverseNL,dans.dataversenl,10.34894/6nsz3h,https://dataverse.nl/citation?persistentId=doi:10.34894/6NSZ3H,2025,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode | info:eu-repo/semantics/openAccess,Dataverse publication:Main trial manuscript submitted,"Background Intravenous immunoglobulin (IVIg) and corticosteroids are considered first-line but alternative induction treatments for chronic inflammatory demyelinating polyradiculoneuropathy (CIDP). We aimed to establish if combining these induction treatments led to more frequent remissions from CIDP than IVIg alone. Methods We conducted a randomised, double-blind, placebo-controlled study in people with CIDP. Participants were allocated in a 1:1 ratio to receive either intravenous methylprednisolone (IVMP, 1000 mg) or placebo, both administered in combination with IVIg every three weeks for a total of 18 weeks. The primary outcome was remission, defined as sustained improvement on disability scales at 52 weeks without need for further treatment. Analyses were performed in the intention-to-treat and per-protocol datasets. Secondary outcomes included between group differences on eight ...","Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-04249,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,15,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; participant/patient/subject wording; treatment/group wording; outcome/endpoint wording,pass,pass,pass,pass,no,no,yes,yes,yes,Data from: Psychological well-being and personality in polycystic ovary syndrome,Dryad,dryad.dryad,10.5061/dryad.g1jwstqms,http://datadryad.org/stash/dataset/doi:10.5061/dryad.g1jwstqms,2019,,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication https://creativecommons.org/publicdomain/zero/1.0,,"Context: Little is known about how lifestyle changes can affect well-being in overweight women with polycystic ovary syndrome (PCOS). Objective: To study the effects of lifestyle intervention on psychological well-being, and the impact of well-being and personality traits on successful weight loss. Design: A four-month Randomized Controlled Trial with a 12-months follow-up. Setting: University Hospital. Patients: Sixty-eight women with PCOS, aged 18 to 40 years and BMI ≥ 27 kg/m2. Interventions: Participants were randomized (1:1) into a behavioral modification program (intervention) or minimal intervention (control). Main Outcome Measures: The Psychological Well Being Index (PGWBI) and the Swedish Universities Scales of personality (SSP). Results: At baseline, 60% had a global PGWBI corresponding to severe distress and 40% to moderate distress. There was no significant change in mean ...","Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-01583,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,15,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; participant/patient/subject wording; treatment/group wording; outcome/endpoint wording,pass,pass,pass,pass,no,no,yes,yes,yes,"Replication data for ""Expanding Horizons: A Randomized Controlled Trial on Adolescents' Career Information Acquisition""",Zenodo,cern.zenodo,10.5281/zenodo.19438433,https://zenodo.org/doi/10.5281/zenodo.19438433,2026,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,,"We implement a randomized controlled trial in a low-income context to investigate whether students in lower-secondary school acquire information about potential career paths more effectively if this information is preceded by a task that allows students to explore their own interests and if the career information is ordered by the congruence between the careers and the student’s personality. We find that self-exploration in combination with the personalized display increases student information acquisition. Students also read about more diverse career paths and, low-performing students in particular, shift their focus from occupations that require university education towards those that require a high-school degree and are potentially more achievable.","Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-02871,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,15,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; participant/patient/subject wording; treatment/group wording; outcome/endpoint wording,pass,pass,pass,pass,no,no,yes,yes,yes,Short- and Mid-Term Adaptations to Plyometric vs. Strength Training in Elite Soccer: A Randomized Crossover Study With Follow-Up and Machine Learning Classification,Zenodo,cern.zenodo,10.5281/zenodo.15205417,https://zenodo.org/doi/10.5281/zenodo.15205417,2025,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,,"This dataset originates from a randomized, crossover controlled trial investigating the short- and mid-term effects of plyometric and maximal strength training on neuromuscular performance in elite male soccer players. Thirty top-division athletes were assigned to three training arms (Plyometric-Strength, Strength-Plyometric, Control) and monitored across three time points: PRE, POST, and FOLLOW-UP (6 weeks post-intervention). The dataset includes countermovement jump height (CMJ A), concentric and peak power (W/kg), unilateral performance (LL, RL), rate of force development (RFD), torque estimates, asymmetry, and composite indices. Secondary measures include heart rate variability (HRV, RMSSD), delayed onset muscle soreness (DOMS), perceived exertion (RPE, sRPE), GPS-derived metrics (HSD, total distance), and training load parameters. Retention indices and responder classification (Δ...","Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-05214,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,14,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; participant/patient/subject wording; treatment/group wording,pass,pass,pass,pass,no,no,yes,yes,no,Double-blind peer review affects reviewer ratings and editor decisions at an ecology journal,Dryad,dryad.dryad,10.5061/dryad.m63xsj466,https://datadryad.org/dataset/doi:10.5061/dryad.m63xsj466,2022,,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode,IsCitedBy:DOI:10.1111/1365-2435.14259,"There is substantial evidence that systemic biases influence the scholarly peer review process. Many scholars have advocated for double-blind peer review (also known as double-anonymous review) to reduce these biases. However, the effectiveness of double‐blind peer review in eliminating biases is uncertain because few randomized trials have manipulated blinding of author identities for journal submissions, and those that have are generally small or provide few insights on how it influences reviewer biases. In 2019, Functional Ecology began a large randomized trial, using real manuscript submissions, to evaluate the various consequences of shifting to double-blind peer review. Research papers submitted to the journal were randomly assigned to be reviewed with author identities blinded to reviewers (double‐blind review) or with authors identified to reviewers (single-blind review). In t...","Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-00373,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,14,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; participant/patient/subject wording; treatment/group wording,pass,pass,pass,pass,no,no,yes,yes,no,Data for: Using cooperative learning to close the reading attainment gap for students with low literacy levels for Grade 8/Year 9 students,Mendeley,bl.mendeley,10.17632/tgr94tzw73,https://data.mendeley.com/datasets/tgr94tzw73,2019,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode | info:eu-repo/semantics/openAccess,IsSupplementTo:DOI:10.1016/j.ijer.2019.02.016,A data set from a 128 class randomised controlled trial of paired reading.,"Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-03254,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,14,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; participant/patient/subject wording; treatment/group wording,pass,pass,pass,pass,no,no,yes,yes,no,"Cocoa flavanol supplementation and the effect on insulin resistance in females who are overweight or obese; a randomized, placebo-controlled trial",University of Nottingham,bl.notts,10.17639/nott.7268,https://rdmc.nottingham.ac.uk/handle/internal/10438,2023,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsReferencedBy:URL:https://clinicaltrials.gov/ct2/show/NCT01201590,"There is interest in the impact that dietary interventions can have on preventing the transition from insulin resistance to type 2 diabetes, including a suggestion that bioactive components of cocoa may enhance fasting insulin sensitivity. However, a role for Cocoa Flavanols in reducing insulin resistance in the insulin-stimulated state, an important risk factor for cardiovascular disease, is unresolved. This study investigated whether cocoa flavanol consumption improved whole-body insulin-mediated glucose uptake in females with overweight/obesity, using a randomized, double-blinded, placebo-controlled, parallel-group design.","Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-03500,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,13,human clinical/health trial not confirmed; positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; tabular/file signal; raw or participant-level data wording; participant/patient/subject wording,pass,pass,pass,unclear_or_fail,yes,yes,yes,no,no,Additional file 2: of A comparison between topical and retrobulbar anesthesia in 27-gauge vitrectomy for vitreous floaters: a randomized controlled trial,figshare,figshare.ars,10.6084/m9.figshare.6790244,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_A_comparison_between_topical_and_retrobulbar_anesthesia_in_27-gauge_vitrectomy_for_vitreous_floaters_a_randomized_controlled_trial/6790244,2018,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1186/s12886-018-0838-7,Raw data used and analysed in this study. (XLSX 12 kb),"Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
RCTC-01996,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,12,non-clinical/social-policy signal; positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal; tabular/file signal; participant/patient/subject wording; treatment/group wording; outcome/endpoint wording,pass,pass,pass,pass,no,yes,yes,yes,yes,Replication Data for: Convergent Flexibility: How International Law Keeps Pace with Technological Change,Harvard Dataverse,gdcc.harvard-dv,10.7910/dvn/vspucm,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/VSPUCM,2026,type/x-r-syntax; type/x-r-syntax; text/tab-separated-values; text/plain; text/tab-separated-values,Creative Commons Zero v1.0 Universal cc0-1.0 https://creativecommons.org/publicdomain/zero/1.0/legalcode | info:eu-repo/semantics/openAccess,,"If change is the only constant, how does the law keep pace with technology? Without a centralized judiciary, international law should be especially susceptible, yet it can be remarkably adaptable in practice. I argue that efforts to minimize legal ambiguity, long seen as integral to compliance, can hinder its application to new technologies. Drawing on first principles from psycholinguistics, the theory differentiates between what I call convergent and divergent forms of flexibility. Unlike divergent flexibility, which gives rise to contestation, convergent flexibility tends to promote consensus, even when technology is unprecedented and incentives to control it sharply diverge. To test the theory, I commission 450 legal professionals to take part in a randomized controlled trial (RCT) varying perceived technological novelty and legal precision. Participants collectively contributed 2...",Do not clean unless new source information resolves the disqualifying metadata signal.
RCTC-03506,Defer - low clinical or data confidence,not_qualified_before_cleaning,not_qualified_before_cleaning_queue.csv,12,positive signals: open reuse signal; publication link/DOI signal; randomized-trial signal; human clinical/health signal,pass,pass,pass,pass,no,no,no,no,no,The Participation Assessment with Recombined Tools-Objective (PART-O): measurement properties of the Norwegian version after traumatic brain injury,Taylor & Francis,figshare.ars,10.6084/m9.figshare.25027353.v1,https://tandf.figshare.com/articles/dataset/The_Participation_Assessment_with_Recombined_Tools-Objective_PART-O_measurement_properties_of_the_Norwegian_version_after_traumatic_brain_injury/25027353/1,2024,,Creative Commons Attribution 4.0 International cc-by-4.0 https://creativecommons.org/licenses/by/4.0/legalcode,IsSupplementTo:DOI:10.1080/02699052.2024.2304855,"To translate and evaluate the validity of the Participation Assessment with Recombined Tools-Objective (PART-O) in a Norwegian context. One hundred and twenty persons with TBI with verified intracranial lesions and persistent symptoms lasting more than 2 years, included in a randomized controlled trial, rated their participation using the PART-O at baseline. The PART-O with its three subscales (Productivity, Out and About, and Social Relations) was translated to Norwegian. Descriptive statistics, Cronbach's alpha, Rasch analysis, and correlation analysis were applied. The Rasch analysis indicated a unidimensional construct of PART-O and its subscales (χ2 0.28). The internal consistency was moderate (Cronbach's alpha 0.48–0.52) and there was a need to reduce scaling options for most of the items. The Out and About and Productivity subscales had considerable floor effects. PART-O showed...","Do not clean unless new source information confirms publication, individual randomization, open reuse, and participant-level data."
