candidate_id,title,doi,repository,downloaded_file_count,download_failed_count,oversize_skipped_count,archive_extracted_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,participant_level_status,treatment_assignment_status,outcome_status,qualification_decision,reasons,best_readable_tables,treatment_evidence,outcome_evidence,next_action
RCTC-00079,Background data for: Patient-Tailored Levothyroxine Dosage with Pharmacokinetic/Pharmacodynamic Modeling: A Novel Approach After Total Thyroidectomy,10.18710/t5bq22,DataverseNO,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,not_qualified_before_cleaning,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not clean unless metadata/access issue is resolved.
RCTC-03215,Additional file 1: Table S1. of Effect of prenatal DHA supplementation on the infant epigenome: results from a randomized controlled trial,10.6084/m9.figshare.c.3619169_d2.v1,Figshare,1,0,0,0,8,pass,pass,pass,no,pass,pass,pass,qualified_for_cleaning,all crude pre-cleaning checks passed,13148_2016_281_MOESM1_ESM.xlsx:S1 Global methylation 450K rows>=13 cols=7 | 13148_2016_281_MOESM1_ESM.xlsx:S2 VMRs rows>=1000 cols=8 | 13148_2016_281_MOESM1_ESM.xlsx:S3 Newborn DMRs adj cell type rows>=24 cols=7 | 13148_2016_281_MOESM1_ESM.xlsx:S4 Newborn Male DMRs rows>=129 cols=8 | 13148_2016_281_MOESM1_ESM.xlsx:S5 Newborn Female DMRs rows>=74 cols=8 | 13148_2016_281_MOESM1_ESM.xlsx:S6 5 yr DMRs rows>=12 cols=9,Table S3 DMRs between the DHA-supplemented and control group at birth with adjustment for cell mixture  | Table S4 DMRs between the DHA-supplemented and control group at birth in males | Table S5 DMRs between the DHA-supplemented and control group at birth in females | Table S6 DMRs between the DHA-supplemented and control group at age 5 years,Table S2 Variable Methylated Regions (VMRs) at birth | Table S3 DMRs between the DHA-supplemented and control group at birth with adjustment for cell mixture  | Table S4 DMRs between the DHA-supplemented and control group at birth in males | Table S5 DMRs between the DHA-supplemented and control group at birth in females,Read publication and map primary outcome/covariates before cleaning.
RCTC-03207,Additional file 1: of Comparison of hemodynamic response to tracheal intubation and postoperative pain in patients undergoing closed reduction of nasal bone fracture under general anesthesia: a randomized controlled trial comparing fentanyl and oxycodone,10.6084/m9.figshare.c.3613661_d1.v1,Figshare,1,0,0,0,5,pass,pass,pass,no,pass,pass,pass,qualified_for_cleaning,all crude pre-cleaning checks passed,12871_2016_279_MOESM1_ESM.xlsx:base rows>=67 cols=13 | 12871_2016_279_MOESM1_ESM.xlsx:BP&HR rows>=69 cols=29 | 12871_2016_279_MOESM1_ESM.xlsx:Hemodynamic changes rows>=68 cols=13 | 12871_2016_279_MOESM1_ESM.xlsx:complications rows>=76 cols=10,Group | Group | Group,Weight; BMI | Post 1; Post 2; Post 3; Post 4; Post 5; Delta MBP/Pre induction; Post induction HR; Delta HR | Delta MBP>40%; Delta HR>20% | Pain(VAS),Read publication and map primary outcome/covariates before cleaning.
RCTC-05855,Additional file 1: of Effects of nutrition education on recurrent coronary events after percutaneous coronary intervention: A randomized clinical trial,10.6084/m9.figshare.c.3597956_d2.v1,Figshare,1,0,0,0,2,pass,pass,pass,no,pass,pass,pass,qualified_for_cleaning,all crude pre-cleaning checks passed,40795_2016_111_MOESM1_ESM.xlsx:raw database rows>=200 cols=34 | 40795_2016_111_MOESM1_ESM.xlsx:variables rows>=23 cols=4,group | group; 1 = intervention; 2=control,,Read publication and map primary outcome/covariates before cleaning.
RCTC-01009,Additional file 1: of Rationale and design of the PLACID study: a randomised trial comparing the efficacy and safety of inhaled loxapine versus IM aripiprazole in acutely agitated patients with schizophrenia or bipolar disorder,10.6084/m9.figshare.c.3734041_d1,Figshare,1,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Manual file/publication review before any cleaning.
RCTC-03182,Additional file 1: of Virtual patients in the acquisition of clinical reasoning skills: does presentation mode matter? A quasi-randomized controlled trial,10.6084/m9.figshare.c.3881320_d1,Figshare,1,0,0,0,1,pass,pass,pass,no,pass,unclear_or_fail,pass,not_qualified_before_cleaning,treatment/group assignment not confirmed,12909_2017_1004_MOESM1_ESM.xlsx:Additional file 1 rows>=97 cols=74,,,Do not clean unless participant-level treatment assignment is found.
RCTC-05858,Additional file 2: Table S1. of A randomized trial of the efficacy and safety of quilizumab in adults with inadequately controlled allergic asthma,10.6084/m9.figshare.c.3616040_d2.v1,Figshare,1,0,0,0,1,pass,pass,pass,no,pass,unclear_or_fail,unclear_or_fail,needs_manual_review_before_cleaning,treatment/group assignment not confirmed; outcomes not confirmed,12931_2016_347_MOESM2_ESM.xlsx:Sheet1 rows>=69 cols=5,,,Manual file/publication review before any cleaning.
RCTC-05849,Additional file 2: of A randomized trial of an intervention to improve resident-fellow teaching interactions on the wards,10.6084/m9.figshare.c.3640964_d1.v1,Figshare,1,0,0,0,1,pass,pass,pass,no,pass,pass,pass,qualified_for_cleaning,all crude pre-cleaning checks passed,12909_2016_796_MOESM2_ESM.xlsx:Data rows>=117 cols=14,Group,Rate communication,Read publication and map primary outcome/covariates before cleaning.
RCTC-03212,Additional file 2: of Efficacy and safety assessment of acupuncture and nimodipine to treat mild cognitive impairment after cerebral infarction: a randomized controlled trial,10.6084/m9.figshare.c.3602990_d1.v1,Figshare,1,0,0,0,3,pass,pass,pass,no,pass,unclear_or_fail,pass,not_qualified_before_cleaning,treatment/group assignment not confirmed,12906_2016_1337_MOESM2_ESM.xlsx:Nimodipine rows>=39 cols=4 | 12906_2016_1337_MOESM2_ESM.xlsx:Acupuncture rows>=40 cols=4 | 12906_2016_1337_MOESM2_ESM.xlsx:nimodipine +acupuncture rows>=40 cols=4,,post-treament 3 month follow-up | post-treament 3 month follow-up | post-treament 3 month follow-up,Do not clean unless participant-level treatment assignment is found.
RCTC-00458,Additional file 2: of Impact of a community pharmacist-led medication review on medicines use in patients on polypharmacy - a prospective randomised controlled trial,10.6084/m9.figshare.c.3603329_d3.v1,Figshare,1,0,0,0,1,pass,pass,pass,no,pass,pass,unclear_or_fail,needs_manual_review_before_cleaning,outcomes not confirmed,12913_2016_1384_MOESM2_ESM.xlsx:Tabelle1 rows>=1000 cols=6,Study group,,Manual file/publication review before any cleaning.
